"division","gender","age_group","education","number","cell_proportion_of_division_total"
"Bass","Female","ages30to44","postgraduateDegree",385,0.00562322904799463
"Bass","Female","ages45to59","bachelorDegree",1590,0.023223205678731
"Bass","Female","ages45to59","gradDipDipCertIIIandIV",2807,0.0409984517862881
"Bass","Female","ages45to59","highSchoolorCertIorIIorLess",4588,0.0670113633044139
"Bass","Female","ages45to59","postgraduateDegree",386,0.00563783483772968
"Bass","Female","ages60plus","bachelorDegree",1188,0.0173516782052406
"Bass","Female","ages60plus","gradDipDipCertIIIandIV",2111,0.0308328221306926
"Bass","Female","ages60plus","highSchoolorCertIorIIorLess",7568,0.110536616714866
"Bass","Female","ages60plus","postgraduateDegree",269,0.00392895743872871
"Bass","Male","ages18to29","bachelorDegree",565,0.0082522712003038
"Bass","Male","ages18to29","gradDipDipCertIIIandIV",2074,0.0302924079104957
"Bass","Male","ages18to29","highSchoolorCertIorIIorLess",4187,0.0611544416206584
"Bass","Male","ages18to29","postgraduateDegree",78,0.00113925159933398
"Bass","Male","ages30to44","bachelorDegree",1137,0.016606782928753
"Bass","Male","ages30to44","gradDipDipCertIIIandIV",3067,0.0447959571174013
"Bass","Male","ages30to44","highSchoolorCertIorIIorLess",2883,0.042108491806152
"Bass","Male","ages30to44","postgraduateDegree",312,0.0045570063973359
"Bass","Male","ages45to59","bachelorDegree",990,0.0144597318377005
"Bass","Male","ages45to59","gradDipDipCertIIIandIV",3832,0.0559693862647153
"Bass","Male","ages45to59","highSchoolorCertIorIIorLess",3693,0.0539391814915432
"Bass","Male","ages45to59","postgraduateDegree",354,0.00517044956620804
"Bass","Male","ages60plus","bachelorDegree",853,0.0124587386439985
"Bass","Male","ages60plus","gradDipDipCertIIIandIV",3884,0.056728887330938
"Bass","Male","ages60plus","highSchoolorCertIorIIorLess",5089,0.0743288639616744
"Bass","Male","ages60plus","postgraduateDegree",354,0.00517044956620804
"Bean","Female","ages18to29","bachelorDegree",2004,0.0215358823908698
"Bean","Female","ages18to29","gradDipDipCertIIIandIV",2362,0.0253831108818535
"Bean","Female","ages18to29","highSchoolorCertIorIIorLess",4636,0.0498205343134094
"Bean","Female","ages18to29","postgraduateDegree",318,0.00341737055903024
"Bean","Female","ages30to44","bachelorDegree",4498,0.0483375244481699
"Bean","Female","ages30to44","gradDipDipCertIIIandIV",4337,0.0466073462720571
"Bean","Female","ages30to44","highSchoolorCertIorIIorLess",3084,0.033142046553614
"Bean","Female","ages30to44","postgraduateDegree",1510,0.0162271369312442
"Bean","Female","ages45to59","bachelorDegree",3087,0.0331742858985105
"Bean","Female","ages45to59","gradDipDipCertIIIandIV",4496,0.0483160315515722
"Bean","Female","ages45to59","highSchoolorCertIorIIorLess",4570,0.0491112687256862
"Bean","Female","ages45to59","postgraduateDegree",1120,0.0120360220946977
"Bean","Female","ages60plus","bachelorDegree",2168,0.0232982999118791
"Bean","Female","ages60plus","gradDipDipCertIIIandIV",2832,0.030433941582307
"Bean","Female","ages60plus","highSchoolorCertIorIIorLess",6260,0.0672727663507211
"Bean","Female","ages60plus","postgraduateDegree",580,0.0062329400133256
"Bean","Male","ages18to29","bachelorDegree",1340,0.0144002407204419
"Bean","Male","ages18to29","gradDipDipCertIIIandIV",2611,0.028058976508264
"Bean","Male","ages18to29","highSchoolorCertIorIIorLess",5300,0.0569561759838373
"Bean","Male","ages18to29","postgraduateDegree",174,0.00186988200399768
"Bean","Male","ages30to44","bachelorDegree",3136,0.0337008618651536
"Bean","Male","ages30to44","gradDipDipCertIIIandIV",4809,0.0516796698691083
"Bean","Male","ages30to44","highSchoolorCertIorIIorLess",3112,0.0334429471059815
"Bean","Male","ages30to44","postgraduateDegree",1447,0.0155501106884175
"Bean","Male","ages45to59","bachelorDegree",2416,0.0259634190899908
"Bean","Male","ages45to59","gradDipDipCertIIIandIV",4920,0.0528725256302792
"Bean","Male","ages45to59","highSchoolorCertIorIIorLess",3458,0.0371612182173792
"Bean","Male","ages45to59","postgraduateDegree",1483,0.0159369828271756
"Bean","Male","ages60plus","bachelorDegree",2262,0.0243084660519698
"Bean","Male","ages60plus","gradDipDipCertIIIandIV",3877,0.041663980054592
"Bean","Male","ages60plus","highSchoolorCertIorIIorLess",3616,0.0388591570485954
"Bean","Male","ages60plus","postgraduateDegree",1231,0.0132288778558686
"Bendigo","Female","ages18to29","bachelorDegree",1521,0.015804403620154
"Bendigo","Female","ages18to29","gradDipDipCertIIIandIV",2796,0.0290526709546026
"Bendigo","Female","ages18to29","highSchoolorCertIorIIorLess",4914,0.0510603809266514
"Bendigo","Female","ages18to29","postgraduateDegree",244,0.00253535468988664
"Bendigo","Female","ages30to44","bachelorDegree",3276,0.0340402539511009
"Bendigo","Female","ages30to44","gradDipDipCertIIIandIV",4502,0.0467793721879903
"Bendigo","Female","ages30to44","highSchoolorCertIorIIorLess",3371,0.0350273797524912
"Bendigo","Female","ages30to44","postgraduateDegree",657,0.00682675422645705
"Bendigo","Female","ages45to59","bachelorDegree",2238,0.0232546057211733
"Bendigo","Female","ages45to59","gradDipDipCertIIIandIV",4702,0.0488575317698646
"Bendigo","Female","ages45to59","highSchoolorCertIorIIorLess",5749,0.0597366971809765
"Bendigo","Female","ages45to59","postgraduateDegree",636,0.00660854747036025
"Bendigo","Female","ages60plus","bachelorDegree",1765,0.0183397583100406
"Bendigo","Female","ages60plus","gradDipDipCertIIIandIV",3361,0.0349234717733975
"Bendigo","Female","ages60plus","highSchoolorCertIorIIorLess",9781,0.101632394351562
"Bendigo","Female","ages60plus","postgraduateDegree",444,0.00461351427176093
"Bendigo","Male","ages18to29","bachelorDegree",862,0.0089568677978782
"Bendigo","Male","ages18to29","gradDipDipCertIIIandIV",3194,0.0331882085225324
"Bendigo","Male","ages18to29","highSchoolorCertIorIIorLess",4904,0.0509564729475576
"Bendigo","Male","ages18to29","postgraduateDegree",72,0.000748137449474745
"Bendigo","Male","ages30to44","bachelorDegree",1903,0.0197736884215339
"Bendigo","Male","ages30to44","gradDipDipCertIIIandIV",5143,0.0534398736478974
"Bendigo","Male","ages30to44","highSchoolorCertIorIIorLess",3306,0.034351977888382
"Bendigo","Male","ages30to44","postgraduateDegree",450,0.00467585905921716
"Bendigo","Male","ages45to59","bachelorDegree",1439,0.0149523581915855
"Bendigo","Male","ages45to59","gradDipDipCertIIIandIV",5841,0.0606926505886387
"Bendigo","Male","ages45to59","highSchoolorCertIorIIorLess",4462,0.0463637402716155
"Bendigo","Male","ages45to59","postgraduateDegree",518,0.00538243331705442
"Bendigo","Male","ages60plus","bachelorDegree",1420,0.0147549330313075
"Bendigo","Male","ages60plus","gradDipDipCertIIIandIV",5753,0.059778260372614
"Bendigo","Male","ages60plus","highSchoolorCertIorIIorLess",6458,0.0671037728987209
"Bendigo","Male","ages60plus","postgraduateDegree",557,0.0057876744355199
"Bennelong","Female","ages18to29","bachelorDegree",4997,0.0413775400361029
"Bennelong","Female","ages18to29","gradDipDipCertIIIandIV",2225,0.0184240597519169
"Bennelong","Female","ages18to29","highSchoolorCertIorIIorLess",6136,0.0508090025338257
"Bennelong","Female","ages18to29","postgraduateDegree",1712,0.0141761754136098
"Bennelong","Female","ages30to44","bachelorDegree",7323,0.0606379278936124
"Bennelong","Female","ages30to44","gradDipDipCertIIIandIV",3855,0.031921236109501
"Bennelong","Female","ages30to44","highSchoolorCertIorIIorLess",2816,0.0233178212410778
"Bennelong","Female","ages30to44","postgraduateDegree",4265,0.0353162313896295
"Bennelong","Female","ages45to59","bachelorDegree",4285,0.0354818409154895
"Bennelong","Female","ages45to59","gradDipDipCertIIIandIV",3984,0.0329894175512975
"Bennelong","Female","ages45to59","highSchoolorCertIorIIorLess",4478,0.0370799728400378
"Bennelong","Female","ages45to59","postgraduateDegree",1718,0.0142258582713678
"Bennelong","Female","ages60plus","bachelorDegree",2196,0.01818392593942
"Bennelong","Female","ages60plus","gradDipDipCertIIIandIV",3044,0.025205769835881
"Bennelong","Female","ages60plus","highSchoolorCertIorIIorLess",8283,0.068587185134889
"Bennelong","Female","ages60plus","postgraduateDegree",639,0.00529122435122468
"Bennelong","Male","ages18to29","bachelorDegree",4056,0.0335856118443933
"Bennelong","Male","ages18to29","gradDipDipCertIIIandIV",2365,0.0195833264329364
"Bennelong","Male","ages18to29","highSchoolorCertIorIIorLess",7158,0.059271649305268
"Bennelong","Male","ages18to29","postgraduateDegree",1206,0.00998625440935363
"Bennelong","Male","ages30to44","bachelorDegree",6432,0.0532600235165527
"Bennelong","Male","ages30to44","gradDipDipCertIIIandIV",4232,0.0350429756719607
"Bennelong","Male","ages30to44","highSchoolorCertIorIIorLess",2943,0.0243694417302883
"Bennelong","Male","ages30to44","postgraduateDegree",3943,0.0326499180232847
"Bennelong","Male","ages45to59","bachelorDegree",3822,0.0316479803918321
"Bennelong","Male","ages45to59","gradDipDipCertIIIandIV",4370,0.0361856814003942
"Bennelong","Male","ages45to59","highSchoolorCertIorIIorLess",3168,0.0262325488962125
"Bennelong","Male","ages45to59","postgraduateDegree",2322,0.0192272659523376
"Bennelong","Male","ages60plus","bachelorDegree",2755,0.022812712187205
"Bennelong","Male","ages60plus","gradDipDipCertIIIandIV",4057,0.0335938923206863
"Bennelong","Male","ages60plus","highSchoolorCertIorIIorLess",4695,0.038876836195618
"Bennelong","Male","ages60plus","postgraduateDegree",1286,0.0106486925127933
"Berowra","Female","ages18to29","bachelorDegree",2340,0.0237192612565127
"Berowra","Female","ages18to29","gradDipDipCertIIIandIV",1509,0.0152958825795203
"Berowra","Female","ages18to29","highSchoolorCertIorIIorLess",4345,0.0440428163074989
"Berowra","Female","ages18to29","postgraduateDegree",398,0.00403430170089403
"Berowra","Female","ages30to44","bachelorDegree",5112,0.0518174630526892
"Berowra","Female","ages30to44","gradDipDipCertIIIandIV",3285,0.0332981936870274
"Berowra","Female","ages30to44","highSchoolorCertIorIIorLess",2052,0.0207999675634034
"Berowra","Female","ages30to44","postgraduateDegree",2167,0.0219656577533602
"Berowra","Female","ages45to59","bachelorDegree",4498,0.0455936910819632
"Berowra","Female","ages45to59","gradDipDipCertIIIandIV",4863,0.0492934903805218
"Berowra","Female","ages45to59","highSchoolorCertIorIIorLess",3974,0.0402821983903339
"Berowra","Female","ages45to59","postgraduateDegree",1714,0.0173738520485738
"Berowra","Female","ages60plus","bachelorDegree",2574,0.0260911873821639
"Berowra","Female","ages60plus","gradDipDipCertIIIandIV",3525,0.0357309384312851
"Berowra","Female","ages60plus","highSchoolorCertIorIIorLess",7016,0.0711172380238003
"Berowra","Female","ages60plus","postgraduateDegree",706,0.00715632412269143
"Berowra","Male","ages18to29","bachelorDegree",1916,0.019421412208324
"Berowra","Male","ages18to29","gradDipDipCertIIIandIV",1914,0.0194011393354552
"Berowra","Male","ages18to29","highSchoolorCertIorIIorLess",5383,0.0545644373264135
"Berowra","Male","ages18to29","postgraduateDegree",257,0.00260506416364263
"Berowra","Male","ages30to44","bachelorDegree",3624,0.0367344456382914
"Berowra","Male","ages30to44","gradDipDipCertIIIandIV",3731,0.037819044336773
"Berowra","Male","ages30to44","highSchoolorCertIorIIorLess",1954,0.0198065967928315
"Berowra","Male","ages30to44","postgraduateDegree",1970,0.019968779775782
"Berowra","Male","ages45to59","bachelorDegree",4072,0.0412755691609058
"Berowra","Male","ages45to59","gradDipDipCertIIIandIV",5240,0.0531149269162933
"Berowra","Male","ages45to59","highSchoolorCertIorIIorLess",2731,0.0276826079023658
"Berowra","Male","ages45to59","postgraduateDegree",2243,0.0227360269223752
"Berowra","Male","ages60plus","bachelorDegree",3120,0.0316256816753502
"Berowra","Male","ages60plus","gradDipDipCertIIIandIV",5146,0.052162101891459
"Berowra","Male","ages60plus","highSchoolorCertIorIIorLess",3747,0.0379812273197235
"Berowra","Male","ages60plus","postgraduateDegree",1528,0.0154884748717741
"Blair","Female","ages18to29","bachelorDegree",1401,0.0136415419518797
"Blair","Female","ages18to29","gradDipDipCertIIIandIV",4080,0.0397269744208917
"Blair","Female","ages18to29","highSchoolorCertIorIIorLess",6284,0.0611873302110009
"Blair","Female","ages18to29","postgraduateDegree",114,0.00111001840293668
"Blair","Female","ages30to44","bachelorDegree",2699,0.0262801725397026
"Blair","Female","ages30to44","gradDipDipCertIIIandIV",5781,0.0562896174331311
