"year","division","tpp"
2013,"Longman",43.2003148366785
2013,"Lyne",36.1623808902232
2013,"Lyons",49.9898662342927
2013,"Macarthur",47.2275013974287
2013,"Mackellar",31.4083427997781
2013,"Macnamara",56.1483409238777
2013,"Macquarie",45.7677500458319
2013,"Makin",56.0327365014319
2013,"Mallee",27.7475582632241
2013,"Maranoa",29.2038834951456
2013,"Maribyrnong",59.5500043773893
2013,"Mayo",39.3208698023853
2013,"McEwen",48.4440444459829
2013,"McMahon",57.5972811403562
2013,"McPherson",36.4960294196024
2013,"Melbourne",70.018118821323
2013,"Menzies",39.2582548360573
2013,"Mitchell",28.3286590597667
2013,"Monash",37.6161193248724
2013,"Moncrieff",33.041729814084
2013,"Moore",37.3038838302052
2013,"Moreton",52.1312243016637
2013,"New England",30.0774832650859
2013,"Newcastle",59.8294429033469
2013,"Nicholls",30.4040568867913
2013,"North Sydney",34.709912712353
2013,"O'Connor",35.0087793179255
2013,"Oxley",53.9814529095545
2013,"Page",47.2582701062216
2013,"Parkes",30.8713514061826
2013,"Parramatta",52.0190814288884
2013,"Paterson",50.8637682578939
2013,"Pearce",40.4701530952699
2013,"Perth",53.6834655518615
2013,"Petrie",49.164660176965
2013,"Rankin",55.1008778684737
2013,"Reid",45.4759177768401
2013,"Richmond",51.2859733307018
2013,"Riverina",30.8822122284949
2013,"Robertson",47.0467954311614
2013,"Ryan",41.5724232589394
2013,"Scullin",67.9795531524813
2013,"Shortland",57.4535761197105
2013,"Solomon",48.7954409858662
2013,"Spence",60.5387763837243
2013,"Stirling",41.4849125331654
2013,"Sturt",40.5703107716312
2013,"Swan",43.1587009803922
2013,"Sydney",62.6471528258669
2013,"Tangney",36.7522139887945
2013,"Wannon",39.2642415591014
2013,"Warringah",34.5489882245341
2013,"Watson",59.755415692965
2013,"Wentworth",31.2410113662723
2013,"Werriwa",56.9580026687267
2013,"Whitlam",56.6210563451265
2013,"Wide Bay",37.3482659987762
2013,"Wills",71.6702139576565
2013,"Wright",39.0177980436861
2016,"Adelaide",59.3376623376623
2016,"Aston",43.3727966986651
2016,"Ballarat",56.9360378458946
2016,"Banks",49.0701370098355
2016,"Barker",36.1677991800977
2016,"Barton",57.9260304343445
2016,"Bass",56.0934533146207
2016,"Bean",58.9440863660451
2016,"Bendigo",53.9555250060463
2016,"Bennelong",40.3169859650995
2016,"Berowra",33.972563100922
2016,"Blair",58.9797920903312
2016,"Blaxland",71.0856956131035
2016,"Bonner",49.1381258271732
2016,"Boothby",47.0292842229241
2016,"Bowman",42.9546568943715
2016,"Braddon",52.2294500295683
2016,"Bradfield",28.9206543559662
2016,"Brand",62.3585261095622
2016,"Brisbane",46.6608752307525
2016,"Bruce",66.8562071277529
2016,"Burt",57.2752680812229
2016,"Calare",38.0040446475458
2016,"Calwell",71.2750693492332
2016,"Canberra",64.430307383357
2016,"Canning",43.7273869536915
2016,"Capricornia",51.0187449062755
2016,"Casey",46.30198378699
2016,"Chifley",69.993813157352
2016,"Chisholm",46.770452436828
2016,"Clark",65.9297973020694
2016,"Cook",34.31843560911
2016,"Cooper",73.8453928773318
2016,"Corangamite",51.8736849742436
2016,"Corio",57.3686223342032
2016,"Cowan",51.6139034448544
2016,"Cowper",36.8793144737253
2016,"Cunningham",63.5799232584189
2016,"Curtin",29.0645862797877
2016,"Dawson",47.150457870773
2016,"Deakin",44.4817951009177
2016,"Dickson",49.4906760864208
2016,"Dobell",55.7230197026971
2016,"Dunkley",52.2075259478622
2016,"Durack",38.4700215695496
2016,"Eden-Monaro",53.5946493616281
2016,"Fadden",38.3179142136249
2016,"Fairfax",38.7319018881608
