"date","pollster","party","poll"
1984-12-12,"F2F Morgan","oth",8
1985-01-16,"F2F Morgan","lnp",43
1985-01-16,"F2F Morgan","alp",48
1985-01-16,"F2F Morgan","oth",9
1985-01-30,"F2F Morgan","lnp",41
1985-01-30,"F2F Morgan","alp",50
1985-01-30,"F2F Morgan","oth",9
1985-02-10,"F2F Morgan","lnp",47
1985-02-10,"F2F Morgan","alp",43
1985-02-10,"F2F Morgan","oth",10
1985-02-17,"F2F Morgan","lnp",42
1985-02-17,"F2F Morgan","alp",49
1985-02-17,"F2F Morgan","oth",9
1985-02-27,"F2F Morgan","lnp",46
1985-02-27,"F2F Morgan","alp",46
1985-02-27,"F2F Morgan","oth",8
1985-03-13,"F2F Morgan","lnp",45
1985-03-13,"F2F Morgan","alp",48
1985-03-13,"F2F Morgan","oth",7
1985-03-27,"F2F Morgan","lnp",46
1985-03-27,"F2F Morgan","alp",47
1985-03-27,"F2F Morgan","oth",7
1985-04-10,"F2F Morgan","lnp",46
1985-04-10,"F2F Morgan","alp",48
1985-04-10,"F2F Morgan","oth",6
1985-04-24,"F2F Morgan","lnp",44
1985-04-24,"F2F Morgan","alp",48
1985-04-24,"F2F Morgan","oth",8
1985-05-08,"F2F Morgan","lnp",49
1985-05-08,"F2F Morgan","alp",43
1985-05-08,"F2F Morgan","oth",8
1985-05-22,"F2F Morgan","lnp",47
1985-05-22,"F2F Morgan","alp",44
1985-05-22,"F2F Morgan","oth",9
1985-06-05,"F2F Morgan","lnp",45
1985-06-05,"F2F Morgan","alp",45
1985-06-05,"F2F Morgan","oth",10
1985-06-19,"F2F Morgan","lnp",49
1985-06-19,"F2F Morgan","alp",41
1985-06-19,"F2F Morgan","oth",10
1985-07-03,"F2F Morgan","lnp",49
1985-07-03,"F2F Morgan","alp",41
1985-07-03,"F2F Morgan","oth",10
1985-07-17,"F2F Morgan","lnp",48
1985-07-17,"F2F Morgan","alp",44
1985-07-17,"F2F Morgan","oth",8
1985-07-31,"F2F Morgan","lnp",47
1985-07-31,"F2F Morgan","alp",44
1985-07-31,"F2F Morgan","oth",9
1985-08-14,"F2F Morgan","lnp",46
1985-08-14,"F2F Morgan","alp",47
1985-08-14,"F2F Morgan","oth",7
1985-08-28,"F2F Morgan","lnp",46
1985-08-28,"F2F Morgan","alp",45
1985-08-28,"F2F Morgan","oth",9
1985-09-09,"F2F Morgan","lnp",50
1985-09-09,"F2F Morgan","alp",43
1985-09-09,"F2F Morgan","oth",7
1985-09-18,"F2F Morgan","lnp",47
1985-09-18,"F2F Morgan","alp",46
1985-09-18,"F2F Morgan","oth",7
1985-10-02,"F2F Morgan","lnp",46
1985-10-02,"F2F Morgan","alp",46
1985-10-02,"F2F Morgan","oth",8
1985-10-16,"F2F Morgan","lnp",44
1985-10-16,"F2F Morgan","alp",48
1985-10-16,"F2F Morgan","oth",8
1985-10-30,"F2F Morgan","lnp",44
1985-10-30,"F2F Morgan","alp",47
1985-10-30,"F2F Morgan","oth",9
1985-11-13,"F2F Morgan","lnp",44
