"first_pref","age_group","gender","education","division","state","tpp_imputed"
"Unsure","ages30to44","Male","bachelorDegree","Corangamite","VIC","ALP"
"Unsure","ages18to29","Female","bachelorDegree","Corangamite","VIC","ALP"
"GRN","ages30to44","Male","bachelorDegree","Corangamite","VIC","ALP"
"ALP","ages18to29","Male","highSchoolorCertIorIIorLess","Corio","VIC","ALP"
"GRN","ages60plus","Female","postgraduateDegree","Ballarat","VIC","ALP"
"LNP","ages45to59","Female","highSchoolorCertIorIIorLess","Ballarat","VIC","LNP"
"ALP","ages30to44","Female","highSchoolorCertIorIIorLess","Corangamite","VIC","ALP"
"ALP","ages45to59","Male","bachelorDegree","Wannon","VIC","ALP"
"ALP","ages45to59","Male","highSchoolorCertIorIIorLess","Wills","VIC","ALP"
"Unsure","ages45to59","Female","bachelorDegree","Bendigo","VIC","LNP"
"Other","ages18to29","Male","gradDipDipCertIIIandIV","Bendigo","VIC","LNP"
"ALP","ages30to44","Female","highSchoolorCertIorIIorLess","Bendigo","VIC","ALP"
"LNP","ages60plus","Male","highSchoolorCertIorIIorLess","Mallee","VIC","LNP"
"GRN","ages45to59","Female","postgraduateDegree","Bendigo","VIC","ALP"
"Other","ages30to44","Female","highSchoolorCertIorIIorLess","Nicholls","VIC","ALP"
"Unsure","ages18to29","Female","highSchoolorCertIorIIorLess","Wannon","VIC","LNP"
"ALP","ages30to44","Female","gradDipDipCertIIIandIV","Wannon","VIC","ALP"
"LNP","ages45to59","Female","highSchoolorCertIorIIorLess","Monash","VIC","LNP"
"ALP","ages45to59","Female","bachelorDegree","Monash","VIC","ALP"
"LNP","ages45to59","Male","gradDipDipCertIIIandIV","Nicholls","VIC","LNP"
"LNP","ages60plus","Female","highSchoolorCertIorIIorLess","Farrer","NSW","LNP"
"LNP","ages18to29","Female","gradDipDipCertIIIandIV","La Trobe","VIC","LNP"
"LNP","ages45to59","Male","postgraduateDegree","Flinders","VIC","LNP"
"ALP","ages30to44","Male","gradDipDipCertIIIandIV","Clark","TAS","ALP"
"Other","ages45to59","Female","postgraduateDegree","Clark","TAS","LNP"
"Other","ages60plus","Female","highSchoolorCertIorIIorLess","Clark","TAS","ALP"
"ALP","ages45to59","Female","gradDipDipCertIIIandIV","Lyons","TAS","ALP"
"ALP","ages18to29","Male","gradDipDipCertIIIandIV","Franklin","TAS","ALP"
"LNP","ages45to59","Female","gradDipDipCertIIIandIV","Lyons","TAS","LNP"
"GRN","ages18to29","Male","highSchoolorCertIorIIorLess","Bass","TAS","ALP"
"LNP","ages60plus","Female","gradDipDipCertIIIandIV","Bass","TAS","LNP"
"ALP","ages30to44","Female","gradDipDipCertIIIandIV","Braddon","TAS","ALP"
"ALP","ages30to44","Male","gradDipDipCertIIIandIV","Melbourne","VIC","ALP"
"LNP","ages45to59","Female","highSchoolorCertIorIIorLess","Maribyrnong","VIC","LNP"
"ALP","ages45to59","Female","highSchoolorCertIorIIorLess","Fraser","VIC","ALP"
"LNP","ages30to44","Male","highSchoolorCertIorIIorLess","Wannon","VIC","LNP"
"ALP","ages60plus","Female","gradDipDipCertIIIandIV","Gellibrand","VIC","ALP"
"ALP","ages45to59","Female","gradDipDipCertIIIandIV","Melbourne","VIC","ALP"
"Other","ages18to29","Male","postgraduateDegree","Jagajaga","VIC","LNP"
"ALP","ages45to59","Male","bachelorDegree","Jagajaga","VIC","ALP"
"LNP","ages45to59","Male","highSchoolorCertIorIIorLess","Cooper","VIC","LNP"
"GRN","ages45to59","Female","gradDipDipCertIIIandIV","Jagajaga","VIC","ALP"
"LNP","ages45to59","Female","bachelorDegree","Goldstein","VIC","LNP"
